  #    ,Position,Candidate,AC Name,Total Electors,Total Votes,Turnout,PMK Votes,PMK Votes %
1,2,Annadurai. N,Edappadi,"2,61,712","2,23,731",85.50%,"56,681",25.30%
2,2,Guru @ Gurunathan.J,Jayankondam,"2,50,259","2,02,088",80.80%,"52,738",26.10%
3,2,Sathiyamoorthy. A,Pappireddippatti,"2,43,140","2,07,287",85.30%,"61,521",29.70%
4,2,Anbumani Ramadoss,Pennagaram,"2,26,254","1,97,554",87.30%,"58,402",29.60%
5,3,Sekar K N,Ambattur,"3,53,518","2,24,029",63.40%,"16,635",7.40%
6,3,Elavazagan K L,Anaikattu,"2,28,249","1,80,385",79.00%,"24,711",13.70%
7,3,Gopal,Anthiyur,"2,05,788","1,68,035",81.70%,"11,570",6.90%
8,3,Arpudham,Arakkonam,"2,17,390","1,63,392",75.20%,"20,130",12.30%
9,3,Rajasekar S,Arani,"2,55,752","2,07,796",81.20%,"12,877",6.20%
10,3,G.Karikalan,Arcot,"2,44,127","2,01,388",82.50%,"35,043",17.40%
11,3,Amsaveni G,Attur,"2,32,681","1,84,046",79.10%,"18,363",10.00%
12,3,A.Kumar,Bargur,"2,26,603","1,86,674",82.40%,"18,407",9.90%
13,3,Ramanathan K V,Bhavani,"2,25,945","1,86,234",82.40%,"20,727",11.10%
14,3,Ashokkumar,Bhuvanagiri,"2,38,798","1,89,722",79.40%,"33,681",17.80%
15,3,Arumugam.K,Chengalpattu,"3,66,345","2,46,190",67.20%,"20,899",8.50%
16,3,Murugan. C,Chengam,"2,48,143","2,09,000",84.20%,"15,114",7.20%
17,3,Srinivasan G,Cheyyar,"2,43,709","2,03,565",83.50%,"37,491",18.40%
18,3,Arul R,Chidambaram,"2,28,166","1,68,905",74.00%,"24,226",14.30%
19,3,Senthil. R. Dr.,Dharmapuri,"2,50,333","2,05,225",82.00%,"56,727",27.60%
20,3,Shanmugavel Murty.A,Gangavalli,"2,17,595","1,74,215",80.10%,"10,715",6.20%
21,3,Ganesh Kumar A,Gingee,"2,50,191","1,98,698",79.40%,"28,515",14.40%
22,3,Deepa .B,Gudiyattam,"2,60,612","1,92,747",74.00%,"7,505",3.90%
23,3,Selvaraj M,Gummidipoondi,"2,59,194","2,12,864",82.10%,"43,055",20.20%
24,3,Ponnusamy.G,Jolarpet,"2,22,146","1,79,601",80.80%,"17,516",9.80%
25,3,Kalidass R,Kalasapakkam,"2,18,565","1,84,349",84.30%,"23,825",12.90%
26,3,P. Magesh Kumar,Kancheepuram,"2,96,751","2,20,467",74.30%,"30,102",13.70%
27,3,Shanmugam N T,Katpadi,"2,27,250","1,75,378",77.20%,"12,728",7.30%
28,3,Edirolimanian G,Kilpennathur,"2,34,104","1,96,123",83.80%,"20,737",10.60%
29,3,Kusalakumari.C,Kilvaithinankuppam,"2,04,298","1,63,236",79.90%,"13,046",8.00%
30,3,Kumar.S,Krishnagiri,"2,44,487","1,98,237",81.10%,"15,736",7.90%
31,3,Vaithilingam G,Kunnam,"2,54,896","2,02,020",79.30%,"37,271",18.50%
32,3,Muthukrishnan S,Kurinjipadi,"2,21,868","1,86,664",84.10%,"22,705",12.20%
33,3,Eraviraj G,Madavaram,"3,97,265","2,64,427",66.60%,"14,245",5.40%
34,3,A.Adhikesavan,Madurantakam,"2,19,928","1,76,354",80.20%,"16,215",9.20%
35,3,Rajashekaran Vr,Mailam,"2,10,950","1,69,489",80.30%,"25,711",15.20%
36,3,Ayyappan.A,Mayiladuthurai,"2,34,079","1,67,168",71.40%,"13,115",7.90%
37,3,Mani.G.K,Mettur,"2,62,849","2,05,745",78.30%,"49,939",24.30%
38,3,Tamilarasu.A,Omalur,"2,66,164","2,25,556",84.70%,"48,721",21.60%
39,3,Mannan. K.,Palacode,"2,11,355","1,86,887",88.40%,"31,612",16.90%
40,3,Dharmalingam.A,Panruti,"2,26,590","1,83,477",81.00%,"18,666",10.20%
41,3,Pandian A,Ponneri,"2,47,430","1,95,364",79.00%,"9,586",4.90%
42,3,Anbalagan.R,Poompuhar,"2,56,713","1,91,280",74.50%,"16,241",8.50%
43,3,Parthasarathy C,Poonamallee,"3,09,083","2,36,722",76.60%,"15,827",6.70%
44,3,Murali. M. K,Ranipet,"2,46,310","1,88,621",76.60%,"23,850",12.60%
45,3,Pushpagandhi J,Rasipuram,"2,22,650","1,84,074",82.70%,"6,952",3.80%
46,3,Kathir Raasaratinam,Salem (North),"2,67,624","1,87,811",70.20%,"7,975",4.30%
47,3,Kumar K,Salem (South),"2,63,957","1,93,768",73.40%,"6,325",3.30%
48,3,Arul.R,Salem (West),"2,70,641","1,99,371",73.70%,"29,982",15.00%
49,3,Sivaraman S,Sankarapuram,"2,51,971","2,02,263",80.30%,"13,612",6.70%
50,3,Kannan.P,Sankari,"2,56,471","2,12,929",83.00%,"37,927",17.80%
51,3,K.Saravanan,Sholingur,"2,54,525","2,09,373",82.30%,"50,827",24.30%
52,3,Ramkumar.K,Shozhinganallur,"5,75,773","3,38,365",58.80%,"15,595",4.60%
53,3,Muthukumar.Pon,Sirkazhi,"2,31,842","1,76,325",76.10%,"14,890",8.40%
54,3,Muthuraman.C,Sriperumbudur,"3,00,120","2,33,186",77.70%,"18,185",7.80%
55,3,Vasu. K,Thiruporur,"2,50,050","1,99,025",79.60%,"28,125",14.10%
56,3,Balayogi V,Thiruvallur,"2,54,359","2,04,826",80.50%,"31,935",15.60%
57,3,Madahaiyan.R.S,Thiruvidaimarudur,"2,33,519","1,83,030",78.40%,"13,709",7.50%
58,3,Kalidoss A,Tindivanam,"2,20,510","1,73,038",78.50%,"29,848",17.30%
59,3,Balasakthi,Tirukkoyilur,"2,38,318","1,86,328",78.20%,"18,822",10.10%
60,3,Raja.T.K,Tirupattur,"2,26,179","1,76,650",78.10%,"12,227",6.90%
61,3,Vaithilingam A,Tiruttani,"2,73,887","2,20,333",80.40%,"29,596",13.40%
62,3,Pandian L,Tiruvannamalai,"2,55,353","2,02,022",79.10%,"7,916",3.90%
